,locus_tag,product
462,AFUA_2G05040,Membrane-bound O-acyltransferase GUP1
463,AFUA_2G05060,"Alternative oxidase, mitochondrial"
464,AFUA_2G05090,"Succinate dehydrogenase assembly factor 3, mitochondrial"
465,AFUA_2G05110,Small nuclear ribonucleoprotein Sm D1
466,AFUA_2G05340,"1,3-beta-glucanosyltransferase Gel4"
467,AFUA_2G05420,Pre-rRNA-processing protein ESF1
468,AFUA_2G05430,Uridine kinase
469,AFUA_2G05440,GID complex subunit 8
470,AFUA_2G05450,"External alternative NADH-ubiquinone oxidoreductase, mitochondrial"
471,AFUA_2G05480,DNA-directed RNA polymerase I subunit RPA12
472,AFUA_2G05490,Deoxyhypusine hydroxylase
473,AFUA_2G05500,"NADH-ubiquinone oxidoreductase 21 kDa subunit, mitochondrial"
474,AFUA_2G05510,"ATP synthase subunit f, mitochondrial"
475,AFUA_2G05530,Histone acetyltransferase ESA1
476,AFUA_2G05540,Pre-mRNA-splicing factor CEF1
477,AFUA_2G05560,RNA exonuclease 4
478,AFUA_2G05590,Ubiquitin carboxyl-terminal hydrolase L3
479,AFUA_2G05650,"Asparagine--tRNA ligase, cytoplasmic"
480,AFUA_2G05670,RNA-binding protein MRN1
481,AFUA_2G05740,Rho GTPase ModA
482,AFUA_2G05750,Agmatinase 2
483,AFUA_2G05760,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial"
484,AFUA_2G05780,mRNA-capping enzyme subunit alpha
485,AFUA_2G05860,Calcium-transporting ATPase PmrA
486,AFUA_2G05900,NAD-dependent protein deacetylase HST2
487,AFUA_2G05910,Hexokinase
488,AFUA_2G05950,13 kDa ribonucleoprotein-associated protein
489,AFUA_2G05960,Splicing factor 3B subunit 6
490,AFUA_2G06000,NAD-specific glutamate dehydrogenase
491,AFUA_2G06040,Actin-interacting protein 1
492,AFUA_2G06070,Pre-mRNA-splicing factor 6
493,AFUA_2G06080,GTPase-activating protein GYP1
494,AFUA_2G06090,Heterogeneous nuclear ribonucleoprotein HRP1
495,AFUA_2G06110,Actin-related protein 4
496,AFUA_2G06140,Uracil-DNA glycosylase
497,AFUA_2G06150,Protein disulfide-isomerase
498,AFUA_2G06220,Protein MPE1
499,AFUA_2G06230,Imidazole glycerol phosphate synthase HisHF
500,AFUA_2G06240,Deoxycytidylate deaminase
501,AFUA_2G06250,Ubiquitin-like modifier-activating enzyme ATG7
502,AFUA_2G06310,ATP-dependent RNA helicase DBP3
503,AFUA_2G06320,Replication protein A 70 kDa DNA-binding subunit
504,AFUA_2G06330,Ubiquitin carboxyl-terminal hydrolase 14
505,AFUA_2G07350,Gamma-glutamyl phosphate reductase
506,AFUA_2G07380,Large ribosomal subunit protein eL18
507,AFUA_2G07410,Pre-mRNA-splicing factor SRP1
508,AFUA_2G07420,Fimbrin
509,AFUA_2G07460,RNA polymerase II transcriptional coactivator
510,AFUA_2G07500,Xaa-Pro aminopeptidase PepP
511,AFUA_2G07520,Leukotriene A4 hydrolase
512,AFUA_2G07540,Type 2A phosphatase activator TIP41
513,AFUA_2G07550,Serine/threonine protein kinase ARK1
514,AFUA_2G07560,Mitochondrial inner membrane protease ATP23
515,AFUA_2G07570,Glutamate 5-kinase
516,AFUA_2G07620,Cystathionine beta-synthase
517,AFUA_2G07710,Pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein CDC28
518,AFUA_2G07720,Cytochrome b5
519,AFUA_2G07770,Ras small monomeric GTPase RasB
520,AFUA_2G07780,"Acyl-CoA synthetase short-chain family member 3, mitochondrial"
521,AFUA_2G07810,"Serine hydroxymethyltransferase, mitochondrial"
522,AFUA_2G07960,eIF-2-alpha kinase activator GCN1
523,AFUA_2G07970,Large ribosomal subunit protein eL19
524,AFUA_2G08130,Large ribosomal subunit protein eL42
525,AFUA_2G08150,Ubiquitin-like protein NEDD8
526,AFUA_2G08250,Glycerol-3-phosphate dehydrogenase [NAD(+)]
527,AFUA_2G08280,NADP-dependent malic enzyme MaeA
528,AFUA_2G08300,DnaJ-related protein SCJ1
529,AFUA_2G08320,U3 small nucleolar ribonucleoprotein protein IMP3
530,AFUA_2G08390,Polyadenylation factor subunit 2
531,AFUA_2G08420,Prenyl cysteine carboxyl methyltransferase Ste14
532,AFUA_2G08460,tRNA pseudouridine synthase 1
533,AFUA_2G08520,Large ribosomal subunit protein uL14m
534,AFUA_2G08540,DNA-directed RNA polymerase II subunit RPB9
535,AFUA_2G08550,Peptidyl-prolyl cis-trans isomerase ESS1
536,AFUA_2G08570,Small subunit of nuclear cap-binding protein complex
537,AFUA_2G08580,Pyridoxal 5'-phosphate synthase subunit PDX2
538,AFUA_2G08600,1-acyl-sn-glycerol-3-phosphate acyltransferase
539,AFUA_2G08670,Acetyl-CoA carboxylase
540,AFUA_2G08750,Mitochondrial nuclease
541,AFUA_2G08850,Phospholipid-transporting ATPase DRS2
542,AFUA_2G08860,Exosome complex component RRP45
543,AFUA_2G08870,Pre-mRNA-splicing factor CWF15
544,AFUA_2G08970,Thiamine biosynthetic bifunctional enzyme
545,AFUA_2G08990,Eukaryotic translation initiation factor 5
546,AFUA_2G09010,DNA ligase 1
547,AFUA_2G09040,Vacuolar transporter chaperone complex subunit 4
548,AFUA_2G09060,DNA replication licensing factor MCM4
549,AFUA_2G09090,Prohibitin-2
550,AFUA_2G09100,Cleavage stimulation factor subunit 2
551,AFUA_2G09130,"NADH-ubiquinone oxidoreductase 24 kDa subunit, mitochondrial"
552,AFUA_2G09150,Adenine deaminase
553,AFUA_2G09160,Translation initiation protein Sua5
554,AFUA_2G09180,Coatomer subunit zeta
555,AFUA_2G09200,Large ribosomal subunit protein eL30
556,AFUA_2G09210,Large ribosomal subunit protein uL16
557,AFUA_2G09230,ATP-dependent RNA helicase DHR2
558,AFUA_2G09290,"Heat shock protein 60, mitochondrial"
559,AFUA_2G09310,"ATP synthase subunit epsilon, mitochondrial"
560,AFUA_2G09490,Eukaryotic translation initiation factor 4 gamma
561,AFUA_2G09550,Biotin--protein ligase
562,AFUA_2G09560,Mitochondrial genome maintenance protein MGM101
563,AFUA_2G09650,"Aspartate aminotransferase, cytoplasmic"
564,AFUA_2G09700,Superoxide dismutase 1 copper chaperone
565,AFUA_2G09710,Serine/threonine-protein kinase PPK23
566,AFUA_2G09740,"Protein arginine methyltransferase NDUFAF7, mitochondrial"
567,AFUA_2G09750,CDC25-like phosphatase YCH1
568,AFUA_2G09790,Glucose-6-phosphate isomerase
569,AFUA_2G09810,L-galactonate dehydratase
570,AFUA_2G09830,ADP-ribosylation factor GTPase-activating protein GLO3
571,AFUA_2G09840,Folic acid synthesis protein FOL1
572,AFUA_2G09870,Eukaryotic translation initiation factor 3 subunit G
573,AFUA_2G09910,Long-chain-fatty-acid--CoA ligase 1
574,AFUA_2G09960,"Iron-sulfur cluster biogenesis chaperone, mitochondrial"
575,AFUA_2G10000,Antiviral helicase SKI2
576,AFUA_2G10010,Nonsense-mediated mRNA decay protein 5
577,AFUA_2G10070,"Carbamoyl phosphate synthase arginine-specific large chain, mitochondrial"
578,AFUA_2G10090,Small ribosomal subunit protein uS19
579,AFUA_2G10100,Large ribosomal subunit protein P2
580,AFUA_2G10120,ATP-dependent (S)-NAD(P)H-hydrate dehydratase
581,AFUA_2G10140,DNA replication licensing factor MCM7
582,AFUA_2G10150,Peroxisomal ATPase PEX1
583,AFUA_2G10220,Glycerol 2-dehydrogenase (NADP(+))
584,AFUA_2G10230,Inositol oxygenase
585,AFUA_2G10270,Serine/threonine-protein kinase TOR2
586,AFUA_2G10300,Small ribosomal subunit protein eS17
587,AFUA_2G10330,Pre-mRNA-splicing factor CWC25
588,AFUA_2G10340,AP-2 complex subunit beta
589,AFUA_2G10350,ER membrane protein complex subunit 4
590,AFUA_2G10360,Kynureninase
591,AFUA_2G10370,Iron-sulfur assembly protein 2
592,AFUA_2G10380,Eukaryotic translation initiation factor 3 subunit L
593,AFUA_2G10420,"Branched-chain-amino-acid aminotransferase, cytosolic"
594,AFUA_2G10440,Small ribosomal subunit protein uS11
595,AFUA_2G10450,Prephenate dehydrogenase [NADP(+)]
596,AFUA_2G10500,Small ribosomal subunit protein uS9
597,AFUA_2G10510,Large ribosomal subunit protein uL13m
598,AFUA_2G10520,Urate oxidase UaZ
599,AFUA_2G10610,Coatomer subunit beta'
600,AFUA_2G10620,Serine/threonine-protein kinase YPK1
601,AFUA_2G10640,Transcriptional adapter 2
602,AFUA_2G10730,DNA polymerase alpha catalytic subunit
603,AFUA_2G10740,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI20
604,AFUA_2G10750,ATP-dependent RNA helicase DBP2
605,AFUA_2G10820,ATP-dependent helicase HRQ1
606,AFUA_2G10855,Phosphoribosylglycinamide formyltransferase
607,AFUA_2G10920,"Enoyl-CoA hydratase, mitochondrial"
608,AFUA_2G10930,Protein RER1
609,AFUA_2G10980,ADP-ribosylation factor-like protein 1
610,AFUA_2G11010,"Dihydroorotate dehydrogenase (quinone), mitochondrial"
611,AFUA_2G11090,DNA replication complex GINS protein PSF2
612,AFUA_2G11110,Structural maintenance of chromosomes protein 2
613,AFUA_2G11140,Large ribosomal subunit protein uL29m
614,AFUA_2G11150,Secretory pathway GDP dissociation inhibitor
615,AFUA_2G11240,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
616,AFUA_2G11260,3-isopropylmalate dehydratase
617,AFUA_2G11270,"Alpha-1,3-glucan synthase Ags2"
618,AFUA_2G11290,Orotate phosphoribosyltransferase
619,AFUA_2G11300,Methylenetetrahydrofolate reductase 2
620,AFUA_2G11330,V-type proton ATPase subunit F
621,AFUA_2G11340,Phosphatidylglycerol/phosphatidylinositol transfer protein
622,AFUA_2G11350,"3-ketoacyl-CoA thiolase, peroxisomal"
623,AFUA_2G11380,KRR1 small subunit processome component
624,AFUA_2G11430,Spindle pole body component ALP4
625,AFUA_2G11440,Proteasome subunit alpha type-5
626,AFUA_2G11510,Nucleolar GTP-binding protein 1
627,AFUA_2G11540,Very-long-chain 3-oxoacyl-CoA reductase
628,AFUA_2G11560,Galactose-1-phosphate uridylyltransferase
629,AFUA_2G11680,5'-deoxynucleotidase HDD1
630,AFUA_2G11700,Bis(5'-adenosyl)-triphosphatase
631,AFUA_2G11720,Zinc-regulated GTPase metalloprotein activator 1
632,AFUA_2G11740,"Lon protease homolog, mitochondrial"
633,AFUA_2G11750,"DnaJ homolog 1, mitochondrial"
634,AFUA_2G11800,U6 snRNA-associated Sm-like protein LSm1
635,AFUA_2G11850,Large ribosomal subunit protein uL3
636,AFUA_2G11900,Pyruvate dehydrogenase kinase
637,AFUA_2G11940,Adenylosuccinate lyase
638,AFUA_2G12020,U6 snRNA-associated Sm-like protein LSm4
639,AFUA_2G12110,Sporulation protein RMD1
640,AFUA_2G12180,VIP36-like protein
641,AFUA_2G12190,Mitochondrial import inner membrane translocase subunit TIM13
642,AFUA_2G12200,cAMP-dependent protein kinase catalytic subunit PkaC1
643,AFUA_2G12220,Replication factor C subunit 1
644,AFUA_2G12230,Large ribosomal subunit protein uL16m
645,AFUA_2G12250,Replication factor C subunit 5
646,AFUA_2G12260,"Cytochrome c oxidase assembly protein COX11, mitochondrial"
647,AFUA_2G12390,DBF2 kinase activator protein MOB1
648,AFUA_2G12400,"ATP synthase subunit 5, mitochondrial"
649,AFUA_2G12440,2-(3-amino-3-carboxypropyl)histidine synthase subunit 1
650,AFUA_2G12450,"Hydroxymethylglutaryl-CoA lyase, mitochondrial"
651,AFUA_2G12460,"Succinate dehydrogenase assembly factor 4, mitochondrial"
652,AFUA_2G12470,"Acetylornithine aminotransferase, mitochondrial"
653,AFUA_2G12480,Protein BTN1
654,AFUA_2G12530,"Carnitine O-acetyltransferase, mitochondrial"
655,AFUA_2G12580,Translocation protein SEC62
656,AFUA_2G12610,"NADPH:adrenodoxin oxidoreductase, mitochondrial"
657,AFUA_2G12850,"1,3-beta-glucanosyltransferase Gel3"
658,AFUA_2G12870,Alpha-soluble NSF attachment protein
659,AFUA_2G12880,Vesicular-fusion protein Sec17
660,AFUA_2G12890,U3 small nucleolar RNA-associated protein 7
661,AFUA_2G12900,Urease accessory protein UreG
662,AFUA_2G12990,Peptidyl-prolyl cis-trans isomerase E
663,AFUA_2G13010,"Cytochrome c oxidase subunit 12, mitochondrial"
664,AFUA_2G13030,"Phenylalanine--tRNA ligase, mitochondrial"
665,AFUA_2G13040,"GrpE protein homolog, mitochondrial"
666,AFUA_2G13080,Diphosphoinositol polyphosphate phosphohydrolase DDP1
667,AFUA_2G13090,DNA-directed RNA polymerase II subunit RPB3
668,AFUA_2G13110,Cytochrome c
669,AFUA_2G13140,Meiosis induction protein kinase IME2/SME1
670,AFUA_2G13240,V-type proton ATPase subunit B
671,AFUA_2G13250,Bifunctional tryptophan synthase TrpB
672,AFUA_2G13320,Mitochondrial fission 1 protein
673,AFUA_2G13370,Phosphatidylinositol 4-kinase LSB6
674,AFUA_2G13400,Membrane protein TMS1
675,AFUA_2G13430,Chitin synthase
676,AFUA_2G13440,Chitin synthase ChsE
677,AFUA_2G13512,Vacuole membrane protein HFL1
678,AFUA_2G13530,Elongation factor 2
679,AFUA_2G13570,Ribosome biogenesis protein BMS1
680,AFUA_2G13630,Aromatic amino acid aminotransferase
681,AFUA_2G13680,Calcium/calmodulin-dependent protein kinase kinase CmkA
682,AFUA_2G13690,Ubiquitin-conjugating enzyme E2 W
683,AFUA_2G13710,"NADH-ubiquinone oxidoreductase 49 kDa subunit, mitochondrial"
684,AFUA_2G13720,DNA-directed RNA polymerases I and III subunit RPAC1
685,AFUA_2G13730,NEDD8-activating enzyme E1 catalytic subunit
686,AFUA_2G13780,Splicing factor 3B subunit 1
687,AFUA_2G13860,Histone H4.2
688,AFUA_2G13910,Emopamil-binding protein-like
689,AFUA_2G13980,ATP-dependent RNA helicase DBP9
690,AFUA_2G14030,"Arginine--tRNA ligase, cytoplasmic"
691,AFUA_2G14060,NADH-cytochrome b5 reductase 1
692,AFUA_2G14080,Structural maintenance of chromosomes protein 3
693,AFUA_2G14090,Serine/threonine-protein kinase RIO1
694,AFUA_2G14110,E3 ubiquitin ligase complex SCF subunit SconB
695,AFUA_2G14160,Sorting nexin-41
696,AFUA_2G14190,Mitochondrial import inner membrane translocase subunit TIM23
697,AFUA_2G14210,"Dihydroxy-acid dehydratase, mitochondrial"
698,AFUA_2G14250,NCT transcriptional regulatory complex subunit A
699,AFUA_2G14270,Coronin-like protein
700,AFUA_2G14280,Kinesin-like protein KlpA
701,AFUA_2G14670,Eukaryotic translation initiation factor 3 subunit D
702,AFUA_2G14810,"Prolyl 3,4-dihydroxylase TPA1"
703,AFUA_2G14960,Monothiol glutaredoxin-4
704,AFUA_2G14990,Tubulin alpha-2 chain
705,AFUA_2G15050,Rho-GTPase-activating protein LRG1
706,AFUA_2G15070,26S proteasome regulatory subunit RPN10
707,AFUA_2G15080,Trafficking protein particle complex subunit 23
708,AFUA_2G15190,Ribulose-phosphate 3-epimerase
709,AFUA_2G15210,U6 snRNA-associated Sm-like protein LSm2
710,AFUA_2G15430,NADP-dependent mannitol dehydrogenase
711,AFUA_2G15500,Small nuclear ribonucleoprotein F
712,AFUA_2G15550,Gephyrin
713,AFUA_2G15560,V-type proton ATPase subunit c''
714,AFUA_2G15570,RAS small monomeric GTPase Rab6
715,AFUA_2G15590,Sulfite reductase [NADPH] subunit beta
716,AFUA_2G15680,Transcription initiation factor IIA subunit 2
717,AFUA_2G15760,Ubiquitin-activating enzyme E1 1
718,AFUA_2G15770,Glutathione S-transferase omega-like 2
719,AFUA_2G15790,RNA polymerase II holoenzyme cyclin-like subunit
720,AFUA_2G15910,Mannan polymerase II complex ANP1 subunit
721,AFUA_2G15940,tRNA-aminoacylation cofactor ARC1
722,AFUA_2G15960,Cytosolic Fe-S cluster assembly factor NBP35
723,AFUA_2G15970,Phosphatidylethanolamine N-methyltransferase
724,AFUA_2G16010,Proline--tRNA ligase
725,AFUA_2G16020,T-complex protein 1 subunit alpha
726,AFUA_2G16090,Importin subunit alpha
727,AFUA_2G16150,G2/mitotic-specific cyclin-4
728,AFUA_2G16200,Uracil phosphoribosyltransferase
729,AFUA_2G16250,COP9 signalosome subunit CsnE
730,AFUA_2G16280,"Glutamate--tRNA ligase, mitochondrial"
731,AFUA_2G16290,Mitochondrial protein import protein MAS5
732,AFUA_2G16360,Pseudouridylate synthase
733,AFUA_2G16370,Large ribosomal subunit protein eL32
734,AFUA_2G16470,Ubiquitin-conjugating enzyme E2 6
735,AFUA_2G16600,DNA polymerase delta catalytic subunit
736,AFUA_2G16640,Polyphosphoinositide phosphatase Fig4
737,AFUA_2G16700,Postreplication repair E3 ubiquitin-protein ligase RAD18
738,AFUA_2G16750,60S ribosomal export protein NMD3
739,AFUA_2G16790,"Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase"
740,AFUA_2G16840,SWI/SNF chromatin-remodeling complex subunit SNF5
741,AFUA_2G16880,Large ribosomal subunit protein eL43
742,AFUA_2G17060,60S ribosome subunit biogenesis protein NIP7
743,AFUA_2G17110,Cell division control protein 48
744,AFUA_2G17450,"3-hydroxyanthranilate 3,4-dioxygenase"
745,AFUA_3G00110,Succinate-semialdehyde dehydrogenase [NADP(+)]
746,AFUA_3G00520,NAD-dependent protein deacetylase HST2
747,AFUA_3G00650,Leucine aminopeptidase 2
748,AFUA_3G00810,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase"
749,AFUA_3G00910,"Alpha-1,3-glucan synthase Ags1"
750,AFUA_3G01110,GMP synthase
751,AFUA_3G01450,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"
752,AFUA_3G02240,Aromatic-L-amino-acid decarboxylase
753,AFUA_3G02290,Arylsulfatase
754,AFUA_3G02320,DNA/RNA-binding protein KIN17
755,AFUA_3G02340,NCT transcriptional regulatory complex subunit B
756,AFUA_3G02380,Splicing factor U2AF 23 kDa subunit
757,AFUA_3G03970,NADH-cytochrome b5 reductase 1
758,AFUA_3G04030,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"
759,AFUA_3G04110,Bystin
760,AFUA_3G04130,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial"
761,AFUA_3G04150,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial"
762,AFUA_3G04170,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial"
763,AFUA_3G04210,Fatty acid synthase subunit alpha
764,AFUA_3G04220,Fatty acid synthase subunit beta
765,AFUA_3G04250,Inositol monophosphatase
766,AFUA_3G04260,Protein HGH1 homolog
767,AFUA_3G04300,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
768,AFUA_3G05350,Histone H2B
769,AFUA_3G05360,Histone H2A
770,AFUA_3G05370,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"
771,AFUA_3G05390,Protein-L-isoaspartate(D-aspartate) O-methyltransferase
772,AFUA_3G05410,"Peptide chain release factor 1, mitochondrial"
773,AFUA_3G05430,ATP-dependent RNA helicase DHH1
774,AFUA_3G05450,Cys-Gly metallodipeptidase DUG1
775,AFUA_3G05480,Cystathionine gamma-synthase
776,AFUA_3G05520,Oxysterol-binding protein-like protein 1
777,AFUA_3G05530,Condensin complex subunit 1
778,AFUA_3G05540,Cell division control protein 7
779,AFUA_3G05560,Chromatin structure-remodeling complex subunit RSC1
780,AFUA_3G05600,Large ribosomal subunit protein uL15
781,AFUA_3G05630,Phospholipase D1
782,AFUA_3G05650,Trehalose-phosphatase
783,AFUA_3G05730,Nicotinate-nucleotide pyrophosphorylase [carboxylating]
784,AFUA_3G05860,Exosome complex component RRP4
785,AFUA_3G05880,Oxysterol-binding protein homolog 3
786,AFUA_3G05890,Transcription elongation factor SPT6
787,AFUA_3G05900,MAP kinase kinase Ste7
788,AFUA_3G05970,Eukaryotic translation initiation factor 2A
789,AFUA_3G06010,Ribosomal RNA small subunit methyltransferase NEP1
790,AFUA_3G06030,Ubiquitin-conjugating enzyme E2 4
791,AFUA_3G06040,"Glutaryl-CoA dehydrogenase, mitochondrial"
792,AFUA_3G06060,Flap endonuclease 1
793,AFUA_3G06070,Histone H1
794,AFUA_3G06080,Phosphatidylinositol 4-phosphate 5-kinase MSS4
795,AFUA_3G06110,26S proteasome regulatory subunit RPN3
796,AFUA_3G06120,"Hexaprenyl pyrophosphate synthase, mitochondrial"
797,AFUA_3G06140,Protein SLA2
798,AFUA_3G06210,Phosphoribosylaminoimidazole-succinocarboxamide synthase
799,AFUA_3G06260,Eukaryotic translation initiation factor eIF-1
800,AFUA_3G06300,Rho GTPase RacA
801,AFUA_3G06340,Cytochrome oxidase assembly protein SHY1
802,AFUA_3G06370,Mitochondrial intermembrane space cysteine motif-containing protein MIX17
803,AFUA_3G06410,"Ubiquinone biosynthesis protein COQ4, mitochondrial"
804,AFUA_3G06440,Pre-mRNA-splicing factor SAP114
805,AFUA_3G06450,Dolichyl-phosphate-mannose--protein mannosyltransferase 1
806,AFUA_3G06492,Protein ISD11
807,AFUA_3G06530,Sulfate adenylyltransferase
808,AFUA_3G06540,Phosphoadenosine phosphosulfate reductase
809,AFUA_3G06550,Phosphoserine phosphatase
810,AFUA_3G06560,"Lipoyl synthase, mitochondrial"
811,AFUA_3G06600,Uroporphyrinogen-III C-methyltransferase
812,AFUA_3G06610,26S proteasome regulatory subunit RPN5
813,AFUA_3G06640,Small ribosomal subunit protein eS27
814,AFUA_3G06660,Protein NipSnap
815,AFUA_3G06690,Rho GTPase Rho3
816,AFUA_3G06700,COP9 signalosome complex subunit 2
817,AFUA_3G06760,Large ribosomal subunit protein eL37
818,AFUA_3G06770,Pre-mRNA-splicing factor SLU7
819,AFUA_3G06780,DNA polymerase zeta catalytic subunit
820,AFUA_3G06830,Aspartate-semialdehyde dehydrogenase
821,AFUA_3G06840,Small ribosomal subunit protein eS4
822,AFUA_3G06880,Sorting nexin-3
823,AFUA_3G06901,Protein transport protein Sec61 subunit gamma
824,AFUA_3G06960,Large ribosomal subunit protein eL21
825,AFUA_3G06970,Small ribosomal subunit protein uS4
826,AFUA_3G07150,Succinate-semialdehyde dehydrogenase [NADP(+)]
827,AFUA_3G07180,Pantothenate kinase CAB1
828,AFUA_3G07200,ATP-dependent RNA helicase DED1
829,AFUA_3G07230,Phosphopantothenate--cysteine ligase CAB2
830,AFUA_3G07360,"Protein SCO1, mitochondrial"
831,AFUA_3G07370,Molybdopterin synthase catalytic subunit
832,AFUA_3G07430,Peptidyl-prolyl cis-trans isomerase
833,AFUA_3G07590,Integral membrane protein SED5
834,AFUA_3G07640,Plasma membrane H+-ATPase Pma1
835,AFUA_3G07680,Ran GTPase-activating protein 1
836,AFUA_3G07700,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase"
837,AFUA_3G07790,Argininosuccinate lyase
838,AFUA_3G07810,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
839,AFUA_3G07820,26S proteasome regulatory subunit 7
840,AFUA_3G07830,T-complex protein 1 subunit delta
841,AFUA_3G07850,Pheromone maturation dipeptidyl aminopeptidase DapB
842,AFUA_3G07910,UDP-glucose 4-epimerase
843,AFUA_3G08000,Peroxisomal ATPase PEX6
844,AFUA_3G08030,tRNA (guanine(37)-N(1))-methyltransferase
845,AFUA_3G08090,Ribosome biogenesis protein NSA2
846,AFUA_3G08140,Oxaloacetate tautomerase FMP41
847,AFUA_3G08160,ATP-dependent RNA helicase eIF4A
848,AFUA_3G08200,Alpha-mannosidase
849,AFUA_3G08240,Glycerophosphocholine acyltransferase 1
850,AFUA_3G08260,Structural maintenance of chromosomes protein 1
851,AFUA_3G08280,Fizzy-related protein homolog
852,AFUA_3G08290,Aspartyl aminopeptidase
853,AFUA_3G08300,Replication factor C subunit 2
854,AFUA_3G08310,4-nitrophenylphosphatase
855,AFUA_3G08330,ATP-dependent Clp protease proteolytic subunit
856,AFUA_3G08380,Inorganic pyrophosphatase
857,AFUA_3G08390,tRNA-dihydrouridine(20) synthase [NAD(P)+]
858,AFUA_3G08460,Large ribosomal subunit protein eL33
859,AFUA_3G08470,Glucose-6-phosphate 1-dehydrogenase
860,AFUA_3G08590,Mitochondrial import protein 2
861,AFUA_3G08600,Eukaryotic translation initiation factor 2 subunit beta
862,AFUA_3G08630,Multiprotein-bridging factor 1
863,AFUA_3G08640,Eukaryotic translation initiation factor 3 subunit I
864,AFUA_3G08650,Formate--tetrahydrofolate ligase
865,AFUA_3G08660,"Isocitrate dehydrogenase [NADP], mitochondrial"
866,AFUA_3G08750,Vacuolar import and degradation protein 27
867,AFUA_3G08770,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
868,AFUA_3G08820,Glucosylceramidase
869,AFUA_3G08840,Coatomer subunit alpha
870,AFUA_3G08850,Mitochondrial FAD-linked sulfhydryl oxidase ERV1
871,AFUA_3G08970,AP-1 complex subunit beta-1
872,AFUA_3G08980,Threonine synthase
873,AFUA_3G09020,DNA primase small subunit
874,AFUA_3G09320,"Serine hydroxymethyltransferase, cytosolic"
875,AFUA_3G09350,Prefoldin subunit 6
876,AFUA_3G09360,Vacuolar protein sorting-associated protein 4
877,AFUA_3G09550,Calcium/calmodulin-dependent protein kinase kinase CmkB
878,AFUA_3G09560,DNA polymerase epsilon catalytic subunit A
879,AFUA_3G09590,T-complex protein 1 subunit zeta
880,AFUA_3G09600,Nucleolar protein 56
881,AFUA_3G09630,"Asparagine--tRNA ligase, mitochondrial"
882,AFUA_3G09740,Protein CWH43
883,AFUA_3G09800,Alpha-adducin
884,AFUA_3G09850,DNA mismatch repair protein MSH2
885,AFUA_3G09860,Phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1
886,AFUA_3G09900,GTPase activating protein Sar1
887,AFUA_3G09940,N-alpha-acetyltransferase 30
888,AFUA_3G09950,Phospholipid:diacylglycerol acyltransferase
889,AFUA_3G09960,Inositol phosphorylceramide synthase catalytic subunit AUR1
890,AFUA_3G10000,cAMP-dependent protein kinase regulatory subunit PkaR
891,AFUA_3G10080,Serine/threonine-protein kinase PSK1
892,AFUA_3G10100,Pre-mRNA-splicing factor SRP2
893,AFUA_3G10110,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial"
894,AFUA_3G10120,TATA-box-binding protein
895,AFUA_3G10220,Tubulin--tyrosine ligase PBY1
896,AFUA_3G10300,Galactokinase
897,AFUA_3G10310,"Acetolactate synthase catalytic subunit, mitochondrial"
898,AFUA_3G10340,Rho GTPase Rho 2
899,AFUA_3G10360,Vacuolar protein sorting-associated protein 35
900,AFUA_3G10400,Dolichol-phosphate mannosyltransferase subunit 1
901,AFUA_3G10460,Nuclear transport factor 2
902,AFUA_3G10490,Damage response protein 1
903,AFUA_3G10510,Translation machinery-associated protein 7
904,AFUA_3G10520,Serine/threonine-protein kinase PRP4
905,AFUA_3G10530,Serine/threonine-protein kinase RAN1
906,AFUA_3G10570,ADIPOR-like receptor IZH2
907,AFUA_3G10600,Golgi apparatus membrane protein TVP18
908,AFUA_3G10620,Transcription initiation factor IIB
909,AFUA_3G10660,Hydroxymethylglutaryl-CoA synthase ERG13B
910,AFUA_3G10690,Calcium-transporting ATPase 2
911,AFUA_3G10710,"Arginine-hydroxylase NDUFAF5, mitochondrial"
912,AFUA_3G10730,Small ribosomal subunit protein eS7
913,AFUA_3G10740,Rab GTPase Vps21/Ypt51
914,AFUA_3G10840,Branchpoint-bridging protein
915,AFUA_3G10890,ATP-dependent RNA helicase DBP8
916,AFUA_3G11030,Histone chaperone ASF1
917,AFUA_3G11070,Pyruvate decarboxylase
918,AFUA_3G11140,DNA ligase 1
